Time,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-38-0f-66,00-17-0d-00-00-3f-f8-20,00-17-0d-00-00-3f-fe-87,00-17-0d-00-00-3f-fe-88
2016-09-10T21:20:00.000Z,29.1268421053,33.1225,30.4763157895,31.5815789474,32.3510526316
2016-09-10T21:30:00.000Z,28.3142105263,32.4905263158,29.68,31.0252631579,31.516
2016-09-10T21:40:00.000Z,27.2735,31.5966666667,28.498,30.3265,30.4473684211
2016-09-10T21:50:00.000Z,25.8636842105,30.2265,27.0342105263,29.1494736842,29.0335
2016-09-10T22:00:00.000Z,24.0877777778,28.0584210526,24.8210526316,27.6605,27.0521052632
2016-09-10T22:10:00.000Z,21.658,25.1225,22.353,25.3210526316,24.4657894737
2016-09-10T22:20:00.000Z,20.1310526316,23.4065,20.6668421053,23.6231578947,22.9295
2016-09-10T22:30:00.000Z,19.0084210526,22.5421052632,19.5121052632,22.5325,22.0168421053
2016-09-10T22:40:00.000Z,17.6195,21.963,17.986,21.4189473684,21.129
2016-09-10T22:50:00.000Z,17.2305263158,21.6757894737,17.5289473684,20.9875,20.7725
2016-09-10T23:00:00.000Z,17.5094736842,21.5247368421,17.8078947368,21.4155,21.3105263158
2016-09-10T23:10:00.000Z,17.5275,21.6495,17.8065,21.3325,20.9794736842
2016-09-10T23:20:00.000Z,17.4984210526,21.3968421053,17.8415789474,20.988,20.292
2016-09-10T23:30:00.000Z,17.202,20.6678947368,17.8915,20.835,20.1415789474
2016-09-10T23:40:00.000Z,17.1121052632,20.702,17.5268421053,20.4957894737,19.9585
2016-09-10T23:50:00.000Z,16.8015789474,20.8836842105,17.1894736842,20.3025,19.8526315789
2016-09-11T00:00:00.000Z,16.806,20.4305263158,17.283,20.1883333333,19.4142105263
2016-09-11T00:10:00.000Z,16.6836842105,20.3121052632,17.2242105263,19.8205263158,19.1773684211
2016-09-11T00:20:00.000Z,16.4357894737,19.673,16.9442105263,19.5815,19.0315
2016-09-11T00:30:00.000Z,15.948,18.9963157895,16.6035,19.44,18.706
2016-09-11T00:40:00.000Z,15.0884210526,18.2142105263,15.7910526316,18.8021052632,18.1936842105
