"","pred.g","target.g"
"69",17.3228579864653,14.95
"70",15.4223530286576,12.85
"71",15.2835242154091,15.03
"72",19.1728909611411,13.13
"73",17.3898791234632,14.29
"74",17.7669315425282,14.75
"75",17.6340157950466,17.32
"76",17.7314451583771,15.55
"77",13.9226861784632,12.98
"78",12.9941147409659,13.24
"79",12.2139140359785,12.16
"80",13.2245329561582,10.72
"81",13.3092086012295,14.08
"82",12.1941143337984,9.77
"83",9.17465286034312,7.16
"84",6.80434190425924,3.08
"85",8.38432140627803,7.98
"86",11.3651166547834,9.47
"87",12.6137115047375,10.24
"88",14.3092154019593,12.67
"89",14.0017148097741,14.08
"90",12.3572972920596,10.39
"91",13.6615880922469,12.62
"92",13.0243859465204,6.62
"93",3.26697774253536,4.29
"94",9.44376111933055,9.34
"95",11.0586596975338,10.29
"96",8.95763621602508,12.39
"97",11.1030052939205,11.57
"98",11.9797906670916,13.06
"99",13.2778484200446,12.06
"100",13.4707692814148,13.21
"101",15.190338501426,12.8
"102",12.5590681776833,9.98
"103",13.1924397337842,12.21
"104",14.3189818275686,12.77
"105",14.9479064002809,11.16
"106",12.8698656575711,12.44
"107",10.1126304946256,11.24
"108",12.2751207781489,12.26
"109",8.97040156906617,4.83
"110",6.52656942798463,4.59
"111",7.90685283057937,5.36
"112",7.03119877765236,9.83
"113",11.823784721367,6.29
"114",7.17982377758298,3.85
"115",4.80265149604675,2.72
"116",4.47929564239101,0.619999999999999
"117",4.644859885954,1.18
"118",5.29037915296592,2.54
"119",6.56695021031001,4.24
"120",8.5149810047808,5.31
"121",8.60473680505794,7.9
"122",9.52320595624853,8.31
"123",9.51561733209588,7.77
"124",11.0700883489677,11.54
"125",10.4981234735196,9.54
"126",9.12275349421448,8.24
"127",9.73394730858807,4.16
"128",6.55436167599174,4.8
"129",8.30083460620896,2.72
"130",2.70516299082309,1.44
"131",5.19880053691426,1.42
"132",6.22943088234234,2.16
"133",5.84836890773737,6.29
"134",8.18517878291263,5.9
"135",5.86991792183435,3.39
"136",2.81406614654361,2.54
"137",6.14744531867051,5.06
"138",5.28092272188675,5.88
"139",4.58575799066417,2.29
"140",2.87510390973684,3.7
"141",4.45062594208306,3.9
