"","pred.g","target.g"
"166",-1.79532361601272,-3.26
"167",-0.167786818478721,-1.37
"168",1.83626470142241,-0.68
"169",1.29081174863462,-1.45
"170",0.181671293674146,-0.529999999999999
"171",1.38307586805447,1
"172",2.81769779638057,0.539999999999999
"173",0.991671021826036,-0.56
"174",-0.515839568831295,-0.33
"175",1.9356786689098,1.11
"176",2.68941958304892,7.34
"177",4.12110375393348,1.67
"178",1.88195613746385,4.26
"179",3.93010557770961,4.39
"180",3.74952377696687,0.59
"181",-0.112525499751721,-6.42
"182",-3.33337665743842,-4.36
"183",-0.648704982149516,-1.4
"184",-0.826215999447447,-3.49
"185",-2.36993522955289,-5.15
"186",-2.10836296355916,-4.54
"187",-0.805226653310172,0.359999999999999
"188",0.293980394451314,-1.55
"189",-3.33256891395912,-4.08
"190",-1.52369889852878,-0.73
"191",0.500481493001999,0.59
"192",1.70461929235038,2.08
"193",1.58587301134299,-2.55
"194",0.268676691451287,-3.29
"195",0.454788459050608,-2.29
"196",1.88086955869842,-1.68
"197",2.38776334650286,1.59
"198",2.65491311717416,0.829999999999999
"199",2.34663793814116,4.06
"200",4.02344708791269,1.95
"201",1.7405570860621,1
"202",1.8430829831755,-1.17
"203",-1.9969055487849,-2.95
"204",-0.960290231642212,-1.78
"205",-1.35443309656855,-3.34
"206",-0.62321672055036,-1.7
"207",1.15948911737232,-3.46
"208",-3.60109208823173,-3.97
"209",-2.29705935050126,-1.88
"210",-0.49687956832946,-3.01
"211",0.649007222777026,0.16
"212",2.40759500688197,4.18
"213",3.26744353328554,0.75
"214",1.65688093366405,1.39
"215",1.99840062918946,4.62
"216",3.83052223176761,2.34
"217",1.2447551901698,1.59
"218",3.43894561021963,2.62
"219",3.57791224320126,4.85
"220",1.35862065523745,1.24
"221",0.307923756667741,-1.12
"222",1.00897239180064,1.03
"223",1.74374251954577,1.24
"224",2.95779694803867,0.98
"225",2.1999366220506,3.47
"226",5.77451211171569,7.39
"227",4.8602909042556,3.42
"228",2.95195778560693,0.57
"229",2.48258571975132,5.9
"230",4.91255574235042,3.83
"231",5.9861237257613,6
"232",2.54385278302227,5.77
"233",3.0243830540529,1.42
"234",-2.3946517006466,2.42
"235",-0.34613753745494,1.77
"236",-0.533820050534292,-2.11
"237",0.316740224812266,-1.09
"238",2.14905357658431,-0.43
"239",2.85673873121358,5.06
"240",6.42306521050485,6.31
"241",7.65702260610834,8.31
"242",10.1120757202651,10.13
"243",8.74117622486008,8.67
"244",8.79801983334231,11.72
"245",8.51097816545611,9.26
"246",6.92993922417368,9.26
"247",7.49136638285391,5.47
"248",7.01060431501127,10.18
"249",5.76660445485476,4.56794521645097
"250",2.65514161829689,6.59
"251",7.29787896253735,6.44
"252",7.28427315879768,9.34
"253",8.28478704626291,8.24
"254",9.47760265492772,11.52
"255",10.9603235203071,12.7
"256",7.41178407574562,7.88
"257",8.46911519681615,10.06
"258",6.96236860685327,3.24
"259",3.52037749809408,1.08
"260",3.90580576163515,2.47
"261",4.16436357050978,2.57
"262",4.89893995167358,5.67
"263",8.23351895443356,6.65
"264",9.8343620670505,7.54
"265",4.6488518644845,3.24
"266",2.89550362710288,0.720000000000001
"267",3.96652394283855,3.31
"268",6.25021469731241,11.47
"269",8.96566588829105,6.95
"270",8.95806426863639,8.93
"271",7.59574295929655,10.13
"272",6.31970380622679,8.36
"273",7.45482038466778,5.65
"274",7.54197568637202,7.06
"275",10.808114807838,11.75
"276",8.06478660472292,10.98
"277",9.14216273211812,8.21
"278",5.37964679175359,7.75
"279",8.76222193477408,8.54
"280",9.00326781782913,8.93
"281",5.82377128119614,6.98
"282",7.90937123652863,7.31
"283",9.67575332575749,10.24
"284",13.428107482637,12.31
"285",14.0451016601914,9.24
"286",8.74802001075401,5.36
"287",9.36678585223902,7.57
"288",11.4536478568232,8.34
"289",12.0797930649177,13.9
"290",14.4587486139572,13.98
"291",12.1077954380832,12.59
"292",13.270072990232,9.8
"293",8.53432238144628,4.03
"294",5.67292099192256,5.77
"295",8.03010332012534,8.67
"296",9.53566495999155,10.26
"297",12.6366383166881,13.31
"298",9.80533842968882,10.65
"299",14.0497220168094,15.83
"300",13.6117305054905,9.93
"301",10.4503303864175,11.7
"302",13.0840658857343,13.11
"303",11.4635333267238,10.29
"304",13.2104242102621,15.6
"305",14.0879727851725,14.54
"306",15.1711791616581,13.59
"307",15.7101785556386,16.65
"308",16.4528415595777,14.21
"309",16.3889922738289,15.8
"310",16.7102504711989,14.7
"311",9.77890280722855,11.85
"312",10.8361283663731,10
"313",10.1339332308516,9.67
"314",11.7585486495211,13.83
"315",15.5477310354315,12.36
"316",14.2138892875993,12.34
"317",14.3238462649313,14.36
"318",14.573553650075,14.49
"319",12.7973389218433,15.13
"320",13.1983016664327,11.95
"321",14.732879253719,17.81
"322",19.0684499689537,16.99
"323",16.7153478039367,13.95
"324",9.17881584020553,8.36
"325",9.2273660370154,10
"326",10.3795735356972,11.47
